field sample ID,sample type,sample type code,year,river code,floodplain code/State RW,site code,trap #/HJ rep #,sample count,sample collection date,weeknum,dayofyear,person Iding,ID date,completed verification by,vial count,genus,species,male/female/nymph,total count
SW17/KA/WO-01/001,SWEEP,SW,2017,KA,KA,WO,1,1,12-Apr-17,15,102,RLM,1-Jun-17,JG,1 OF 1,ISOCAPNIA,CRINITA,FEMALE,1
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,1 OF 3,TAENIONEMA,PACIFICUM,MALE,50
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,2 OF 3,TAENIONEMA,PACIFICUM,MALE,50
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,3 OF 3,TAENIONEMA,PACIFICUM,MALE,36
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,1 OF 3,TAENIONEMA,SPP,FEMALE,60
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,2 OF 3,TAENIONEMA,SPP,FEMALE,50
SW17/KA/PR/002A-F,SWEEP,SW,2017,KA,KA,PR,-,2,17-Apr-17,16,107,KW,1-Mar-17,,3 OF 3,TAENIONEMA,SPP,FEMALE,34
SW17/KA/WO/002A-B,SWEEP,SW,2017,KA,KA,WO,-,2,17-Apr-17,16,107,KW,1-Mar-17,,1 OF 1,TAENIONEMA,PACIFICUM,MALE,23
SW17/KA/WO/002A-B,SWEEP,SW,2017,KA,KA,WO,-,2,17-Apr-17,16,107,KW,1-Mar-17,,1 OF 1,TAENIONEMA,SPP,FEMALE,35
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 & 5,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 3,TAENIONEMA,PACIFICUM,MALE,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 & 5,1,17-Apr-17,16,107,KW,26-Apr-17,,2 OF 3,TAENIONEMA,PACIFICUM,MALE,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 & 5,1,17-Apr-17,16,107,KW,26-Apr-17,,3 OF 3,TAENIONEMA,PACIFICUM,MALE,6
PT17/KA/PR-6-7/001,PITFALL,PT,2017,KA,KA,PR,6 & 7,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 2,TAENIONEMA,PACIFICUM,MALE,15
PT17/KA/PR-6-7/001,PITFALL,PT,2017,KA,KA,PR,6 & 7,1,17-Apr-17,16,107,KW,26-Apr-17,,2 OF 2,TAENIONEMA,PACIFICUM,MALE,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,1 OF 6 ,TAENIONEMA,SPP,NYMPH,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,2 OF 6 ,TAENIONEMA,SPP,NYMPH,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,3 OF 6 ,TAENIONEMA,SPP,NYMPH,15
PT17/KA/PR-4-5/001,PITFALL,PT,2017,KA,KA,PR,4 &5,1,17-Apr-17,16,107,KW,26-Apr-17,,4 OF 6 ,TAENIONEMA,SPP,NYMPH,15
